index	section	title	bvid	aid	cid	url
1	正片	网上都是嘴嗨，现实中谁不想来一杯哪吒仙饮！@勇哥餐饮原创	BV16MzKBUEYL	115942994481080	35559049503	https://www.bilibili.com/video/BV16MzKBUEYL/
2	正片	家是本巨大历史机遇！葱油饼帝国的崛起！ @勇哥餐饮原创	BV1HZBfBAEwQ	115938800304169	35546793032	https://www.bilibili.com/video/BV1HZBfBAEwQ/
3	正片	家是本老哥成立公司，完成A轮融资，立足历史重大机遇，打造商业帝国！目标几十上百亿！ @勇哥餐饮原创	BV1pfdBBXEVX	116419282994750	37579458039	https://www.bilibili.com/video/BV1pfdBBXEVX/
4	正片	老哥带娃被嘲笑软饭男，如今月赚2万证明自己。 三十年河东，三十年河西？@勇哥餐饮原创	BV1AiQcBuE4x	116380695333498	37395236065	https://www.bilibili.com/video/BV1AiQcBuE4x/
5	正片	宝妈迷之自信，20万在小学旁开中药奶茶三个月亏光！周围店铺都是卧龙凤雏！	BV1RKq6BcEWu	115750878578112	34860499279	https://www.bilibili.com/video/BV1RKq6BcEWu/
6	正片	大姐负债20万加盟杂牌汉堡！每天亏400还能救吗？ @勇哥餐饮原创	BV1kHZuBGE4E	116080550938833	36106013021	https://www.bilibili.com/video/BV1kHZuBGE4E/
7	正片	40万开炸鸡才20％的毛利率！每月亏6万！有卧龙周围必有凤雏  @勇哥餐饮原创	BV1GnfqB6Eq7	116119054581850	36232169389	https://www.bilibili.com/video/BV1GnfqB6Eq7/
8	正片	加盟米村被截胡！40万开杂牌拌饭天天亏钱！ @勇哥餐饮原创	BV1uJfcBvEiN	116114323410124	36216832787	https://www.bilibili.com/video/BV1uJfcBvEiN/
9	正片	因自己爱吃，13万开泡菜店！“天才选址”顾客进不来！每天亏250块  @勇哥餐饮原创	BV1inZZBTEqx	116111790050526	36206280717	https://www.bilibili.com/video/BV1inZZBTEqx/
10	正片	90万加盟杂牌拌饭，2个月全亏光！只因找不到米村官网，以此为戒。@勇哥餐饮原创	BV1TWfyBQEVW	116123282509630	25968974865	https://www.bilibili.com/video/BV1TWfyBQEVW/
11	正片	大学生贷款加盟麻辣烫，14万全部赔光！这就是对创业的执着！	BV1ghZYBWEFv	116095214158169	25966484651	https://www.bilibili.com/video/BV1ghZYBWEFv/
12	正片	在丽江30万开臭豆腐火锅！这钱亏的一点也不冤。 @勇哥餐饮原创	BV1H7f1ByEG5	116124775614233	36254124275	https://www.bilibili.com/video/BV1H7f1ByEG5/
13	正片	14万开酸奶店，每天只卖10块钱，月亏5千还能坚持一年多！ @勇哥餐饮原创	BV1mFfFBbEoK	116113048341711	36210150790	https://www.bilibili.com/video/BV1mFfFBbEoK/
14	正片	大姐50万加盟汉堡店，开业三天总部跑路，自己成了总部！@勇哥餐饮原创	BV19LZQBjEEt	116090214616948	36137406097	https://www.bilibili.com/video/BV19LZQBjEEt/
15	正片	200万开披萨自助月亏6万！已经开业4年还能坚持下去吗？ @勇哥餐饮原创	BV1PcfEBrEfL	116107662854146	36193304720	https://www.bilibili.com/video/BV1PcfEBrEfL/
16	正片	10万开菜馆日赚2元，开业三天合伙人跑路  @勇哥餐饮原创	BV11qfjBMEu3	116106236791902	36187735973	https://www.bilibili.com/video/BV11qfjBMEu3/
